TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
Noces;Fiction;Belgique/Luxembourg/France;3238670;FR/EN;;
Sierra nevada;Fiction;Roumanie/France/Croatie/Bosnie/Macédoine;1249000;FR/EN;;
So Long;Fiction;France;48614;FR/EN;;
Suburra;Fiction;Italie/France;6000000;FR/EN;;
Thom;Fiction;Burkina Faso/France;922000;FR/EN;;
Un moment d'égarement;Fiction;France;12200772;FR/EN;;
A toute épreuve;Fiction;France/Belgique;5,35;FR/EN;;
Amour crime parfait;Fiction;France/Suisse;5,35;FR/EN;;
Boule et Bill;Fiction;France/Belgique/Luxembourg;17,48;FR/EN;;
Deux jours, une nuit;Fiction;Belgique/France/Italie;7;FR/EN;;
Divin enfant;Fiction;France/Luxembourg/Belgique;4;FR/EN;;
Etre;Fiction;France/Belgique;1,71;FR/EN;;
Francofonia, le Louvre sous l'occupation;Docu;France/Allemagne/Pays-bas;1,79;FR/EN;;
Givors;Docu;France;0,17;FR/EN;;
Guy Georges, la traque;Fiction;France;5,29;FR/EN;;
Hippocrate;Fiction;France;3,79;FR/EN;;
Je ne suis pas mort;Fiction;France;0,93;FR/EN;;
La Danza de la realidad;Fiction;Chili/France;3,53;FR/EN;;
Lou !;Fiction;France;8,12;FR/EN;;
Maestro;Fiction;France;3,56;FR/EN;;
Marche (La);Fiction;France/Belgique;10,69;FR/EN;;
Marie Heurtin;Fiction;France;2,49;FR/EN;;
Mémoire vive;Fiction;France;1,44;FR/EN;;
Terre battue;Fiction;France/Belgique;2,89;FR/EN;;
Victoire;Fiction;France;0,23;FR/EN;;
BRENDAN ET LE SECRET DE KELLS;Animation;France/Belgique/Irlande;5 335 000,00;FR/EN;;
CAMPING;Fiction;France;14 223 596,00;FR/EN;;
COULEURS D'ORCHESTRE;Documentaire;France;541 091,00;FR/EN;;
DIKKENEK;Fiction;France/Belgique;3 794 881,00;FR/EN;;
FRANCAIS POUR DEBUTANT;Fiction;Allemagne/France;1 873 081,00;FR/EN;;
J'AI VU TUER BEN BARKA;Fiction;France/Maroc/Espagne;3 200 000,00;FR/EN;;
JOUR APRÈS JOUR;Documentaire;France;345 283,00;FR/EN;;
KILOMETRE ZERO;Fiction;France;889 735,00;FR/EN;;
NOBLE ART;Documentaire;France;415 259,00;FR/EN;;
RETOUR EN NORMANDIE;Documentaire;France;1 691 480,00;FR/EN;;
TOI ET MOI;Fiction;France;3 603 360,00;FR/EN;;
TRAHISON (LA);Fiction;France/Belgique;1 937 549,00;FR/EN;;
UNE ROMANCE ITALIENNE;Fiction;Italie/France;5 200 184,00;FR/EN;;
Cafard;Anim;Belgique/France/Pays-bas;2,91;FR/EN;;
Chic !;Fiction;France;8,18;FR/EN;;
J'ai dégagé Ben Ali;Fiction;France;3,66;FR/EN;;
Ma vie de courgette;Anim;Suisse/France;5,34;FR/EN;;
Maintenant ils peuvent venir;Fiction;France/Algérie;1,93;FR/EN;;
Seule comme une baignoire;Fiction;Belgique/France;2;FR/EN;;
Steak (r)évolution;Docu;France;0,18;FR/EN;;
The Red Turtle;Anim;France/Belgique;10,38;FR/EN;;
Tout en haut du monde;Anim;France;6,13;FR/EN;;
Tout nouveau testament (Le);Fiction;Belgique/Luxembourg/France;8,7;FR/EN;;
Véritable histoire de Robin des Bois;Fiction;France;11,07;FR/EN;;
CYRILSON'S RETIRES;Fiction;Israel/France/Pologne;1 375 000,00;FR/EN;;
"ESPRIT DU VIN ""REVEIL DES TERROIRS"" (L')";Documentaire;France;133 890,00;FR/EN;;
FEE (LA);Fiction;France/Belgique;3 020 400,00;FR/EN;;
J'ENRAGE DE SON ABSENCE;Fiction;France/Luxembourg/Belgique;3 995 831,00;FR/EN;;
KIRIKOU ET LES HOMMES ET LES FEMMES;Animation;France;6 915 237,00;FR/EN;;
MICHAEL KOHLHAAS;Fiction;France/Allemagne;4 688 034,00;FR/EN;;
TRAVIATA ET NOUS;Documentaire;France;720 481,00;FR/EN;;
UN BONHEUR N'ARRIVE JAMAIS SEUL;Fiction;France;15 670 729,00;FR/EN;;
UNE NUIT;Fiction;France;4 762 521,00;FR/EN;;
Au-dela des montagnes;Fiction;Chine/France;4498302;FR/EN;;
Cami a casa;Fiction;Esp/France;1703835;FR/EN;;
Détour aux sources;Fiction;France/Liban;500650;FR/EN;;
Encore heureux;Fiction;France;6606480;FR/EN;;
Je compte sur vous;Fiction;France;3688590;FR/EN;;
Little Go Girls;Docu;France;259537;FR/EN;;
Masaan;Fiction;Inde/France;1350000;FR/EN;;
Opéra de Paris (L');Docu;France/Suisse;1378155;FR/EN;;
Ouvert la nuit;Fiction;France;3991755;FR/EN;;
Stan;Fiction;France;2220304;FR/EN;;
Testicules de tarzan (les);Docu;Roumanie/France;525644;FR/EN;;
BEUR SUR LA VILLE;Fiction;France;9 724 697,00;FR/EN;;
BRINDILLE (LA);Fiction;France;2 803 053,00;FR/EN;;
FILLE DU PUISATIER (LA);Fiction;France;12 500 041,00;FR/EN;;
